grey01.broad.wmv,3544765,be9cc068,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey02.broad.wmv,3860089,b8ba08e8,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey03.broad.wmv,4642762,cc90c9df,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey04.broad.wmv,4462592,61830409,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey05.broad.wmv,4974967,1b87ec66,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey06.broad.wmv,4541402,beceaaaa,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey07.broad.wmv,4434427,36fe2c13,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey08.broad.wmv,4744104,4a93a449,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey09.broad.wmv,4744112,991a47f2,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey10.broad.wmv,4068440,33fba64e,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey11.broad.wmv,4822954,1c7976f8,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey12.broad.wmv,4231711,10771868,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey13.broad.wmv,3054918,858c35d4,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey14.broad.wmv,4563926,2c37fbec,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey15.broad.wmv,3702435,157c5b11,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey16.broad.wmv,3815051,bb3bba51,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey17.broad.wmv,4676542,47087b8a,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey18.broad.wmv,4355601,9948ed6e,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey19.broad.wmv,3242083,2a3d60db,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey20.broad.wmv,4355593,da4764d8,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey21.broad.wmv,3359296,60ce1106,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey22.broad.wmv,5324089,f5792715,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
grey23.broad.wmv,2599619,7a45487f,\Barbie Doll Videos\2000\Grey Dress\,{BDLF1~1~1~2000 - Grey Dress}
garden01.broad.wmv,4124728,27b12ba9,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden02.broad.wmv,4181048,42d4c9a1,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden03.broad.wmv,4693441,426d40d7,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden04.broad.wmv,3995229,44f7d8b1,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden05.broad.wmv,4479459,95f021b5,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden06.broad.wmv,3634865,e05c6fc2,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden07.broad.wmv,3871339,0fee5560,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden08.broad.wmv,3876980,f5238fe8,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden09.broad.wmv,3876980,7d430832,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden10.broad.wmv,3882621,d861e4d2,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden11.broad.wmv,3758739,dea25156,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden12.broad.wmv,3387119,48763d51,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
garden13.broad.wmv,3640506,027b39d1,\Barbie Doll Videos\2001\On The Blue Couch\,{BDLF1~1~2~2001 - On The Blue Couch}
pvcdress001.jpg,83896,c7a4a7c7,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress002.jpg,82398,fdd7b507,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress003.jpg,88578,a8a47d98,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress005.jpg,90964,b717ce3c,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress006.jpg,87486,6e359809,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress007.jpg,90815,cdd21f44,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress008.jpg,80510,be576800,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress009.jpg,80460,b7331609,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress010.jpg,70181,471f073a,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress011.jpg,133625,7cf8c86f,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress012.jpg,107987,789de09d,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress013.jpg,125554,014fa6cc,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress014.jpg,128075,52f657c3,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress015.jpg,124552,95ea1d44,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress004.jpg,121337,111986aa,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress016.jpg,115685,9ec786a1,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress017.jpg,127980,2d7429dc,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress018.jpg,136238,48bc02ed,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress019.jpg,130347,172eaff5,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress020.jpg,133089,312c739e,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress021.jpg,135200,af7a0700,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress022.jpg,130932,6b440bc0,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress023.jpg,128855,3ab3fa70,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress024.jpg,104627,981577a9,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress025.jpg,120606,57d0e696,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress026.jpg,132560,5d2c0f52,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress27.jpg,128678,4f0bbd8f,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress028.jpg,128690,c95315c5,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress029.jpg,117861,0d98dbbf,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress030.jpg,129799,40053bd4,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress031.jpg,100684,4316724a,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress032.jpg,116321,0aecd537,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress033.jpg,110151,2e26adfb,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress034.jpg,135966,c1450a99,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress035.jpg,127345,20b2ad30,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress036.jpg,132164,f41e1d91,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress037.jpg,156239,3c2f683d,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress038.jpg,129785,1eb11d57,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress039.jpg,131275,b82db189,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress040.jpg,127463,405b3cf9,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress041.jpg,137541,f05a6e77,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress042.jpg,114322,7c0a014e,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress043.jpg,120148,eb8540f7,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress044.jpg,90091,88aafa98,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress045.jpg,108702,7370f394,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress046.jpg,131560,85cb82c7,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress047.jpg,106886,0f48b0c0,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress048.jpg,103892,8950d795,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress049.jpg,101697,d08eada1,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress050.jpg,103730,575f7731,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress051.jpg,70434,d0998013,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress052.jpg,108630,336236b8,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
pvcdress053.jpg,108920,cf117275,\Galleries\Barbie Doll\Fetish\Pvc Dress\,{BDLF1~2~1~Barbie Doll - Fetish - Pvc Dress}
